2026-07-02 20:01:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:01:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:01:31 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:01:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:01:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:01:41 | DEBUG    | __main__ | Sleeping for 9.1s
2026-07-02 20:01:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:01:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:01:51 | DEBUG    | __main__ | Sleeping for 9.2s
2026-07-02 20:02:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:02:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:02:01 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:02:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:02:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:02:11 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:02:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:02:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:02:21 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:02:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:02:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:02:31 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:02:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:02:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:02:41 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:02:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:02:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:02:51 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 20:03:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:03:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:03:01 | DEBUG    | __main__ | Sleeping for 9.1s
2026-07-02 20:03:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:03:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:03:11 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:03:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:03:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:03:21 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 20:03:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:03:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:03:31 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 20:03:42 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:03:42 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:03:42 | DEBUG    | __main__ | Sleeping for 7.9s
2026-07-02 20:03:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:03:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:03:51 | DEBUG    | __main__ | Sleeping for 8.9s
2026-07-02 20:04:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:04:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:04:01 | DEBUG    | __main__ | Sleeping for 9.1s
2026-07-02 20:04:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:04:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:04:11 | DEBUG    | __main__ | Sleeping for 9.1s
2026-07-02 20:04:22 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:04:22 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:04:22 | DEBUG    | __main__ | Sleeping for 8.4s
2026-07-02 20:04:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:04:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:04:31 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 20:04:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:04:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:04:41 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 20:04:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:15:00+00:00 to 2026-07-02 14:30:00+00:00
2026-07-02 20:04:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:25:00+00:00). Skipping evaluation.
2026-07-02 20:04:51 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:05:02 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:05:02 | INFO     | __main__ | [BTCUSD] No signal. Waiting for next candle.
2026-07-02 20:05:02 | DEBUG    | __main__ | Sleeping for 8.8s
2026-07-02 20:05:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:05:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:05:11 | DEBUG    | __main__ | Sleeping for 9.1s
2026-07-02 20:05:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:05:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:05:21 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:05:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:05:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:05:31 | DEBUG    | __main__ | Sleeping for 9.1s
2026-07-02 20:05:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:05:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:05:41 | DEBUG    | __main__ | Sleeping for 9.3s
2026-07-02 20:05:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:05:52 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:05:52 | DEBUG    | __main__ | Sleeping for 8.8s
2026-07-02 20:06:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:06:01 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:06:01 | DEBUG    | __main__ | Sleeping for 9.1s
2026-07-02 20:06:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:06:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:06:11 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:06:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:06:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:06:21 | DEBUG    | __main__ | Sleeping for 9.0s
2026-07-02 20:06:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:06:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:06:31 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:06:42 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:06:42 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:06:42 | DEBUG    | __main__ | Sleeping for 7.9s
2026-07-02 20:06:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:06:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:06:51 | DEBUG    | __main__ | Sleeping for 9.2s
2026-07-02 20:07:02 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:07:02 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:07:02 | DEBUG    | __main__ | Sleeping for 8.3s
2026-07-02 20:07:11 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:07:11 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:07:11 | DEBUG    | __main__ | Sleeping for 9.4s
2026-07-02 20:07:21 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:07:21 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:07:21 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:07:31 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:07:31 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:07:31 | DEBUG    | __main__ | Sleeping for 9.6s
2026-07-02 20:07:41 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:07:41 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:07:41 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:07:51 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
2026-07-02 20:07:51 | DEBUG    | __main__ | [BTCUSD] Candle unchanged (2026-07-02 14:30:00+00:00). Skipping evaluation.
2026-07-02 20:07:51 | DEBUG    | __main__ | Sleeping for 9.5s
2026-07-02 20:08:01 | DEBUG    | market_data | [BTCUSD] Fetched 100 candles: 2026-07-02 06:20:00+00:00 to 2026-07-02 14:35:00+00:00
